,公司名稱,統一編號,聯絡人,聯絡電話,公司地址
0,公司名稱,統一編號,聯絡人,聯絡電話,公司地址
1,熱火快炒,0,暫不提供,暫不提供,暫不提供
2,鐘友體育用品社,0,暫不提供,暫不提供,暫不提供
3,有巢氏房屋勤美綠園道_昶勝不動產仲介經紀有限公司,0,暫不提供,暫不提供,暫不提供
4,皇后男女養生會館_貴妃生活館,0,暫不提供,暫不提供,暫不提供
5,博奇大飯店股份有限公司,27808479,暫不提供,暫不提供,暫不提供
6,鄧志郁建築師事務所,0,暫不提供,暫不提供,暫不提供
7,喜利廉有限公司,27515184,暫不提供,暫不提供,暫不提供
8,漁藏麵屋_麥可何小吃店,0,暫不提供,暫不提供,暫不提供
9,冶金數位科技有限公司,90354910,暫不提供,暫不提供,暫不提供
10,杭締股份有限公司,84558331,暫不提供,暫不提供,暫不提供
11,台中市私立布穀鳥語文短期補習班,0,暫不提供,暫不提供,暫不提供
12,可不可熟成紅茶_永醇誠股份有限公司,0,劉小姐,04-22850808 分機25,台中市北屯區文心路四段448號
13,早安美芝城台中大德概念店_活力大德早餐店,0,暫不提供,暫不提供,暫不提供
14,統一超商加盟店_源立興業有限公司,0,邱先生,暫不提供,台中市北屯區興安路二段461巷33號8樓
15,財團法人鞋類暨運動休閒科技研發中心,0,林小姐,暫不提供,台中市西屯區工業區八路11號
16,國立臺中教育大學_教育學系,0,暫不提供,暫不提供,暫不提供
17,沁弦國際設計有限公司,54597408,暫不提供,暫不提供,暫不提供
18,匠優室內裝修股份有限公司,84808252,暫不提供,暫不提供,暫不提供
19,捷爾國際精品貿易有限公司,54257908,暫不提供,暫不提供,暫不提供
20,神奕科技有限公司,53630837,暫不提供,暫不提供,暫不提供
21,鎧齊電子企業有限公司,42807392,陳小姐,暫不提供,台中市西區華美西街一段137號7F-1
22,德鈺建設股份有限公司,54890640,暫不提供,暫不提供,暫不提供
23,億品鍋_桀誠商行,0,暫不提供,暫不提供,暫不提供
24,天悅傳統整復推拿館,0,暫不提供,暫不提供,暫不提供
25,橙漾空間設計有限公司,60321483,葉小姐,04-23960105,台中市太平區新福路126號
26,品茂塑膠工業股份有限公司,23207622,莊小姐,04-24910077,台中市大里區工業9路23號
27,翊豪會計師事務所,0,暫不提供,暫不提供,暫不提供
28,豐禾地產開發股份有限公司,54904567,用人單位,04-23863757,台中市大里區中興路二段768之6號
